MinReturn,MaxReturn,ExplainedVariance,LossAfter,LossBefore,Iteration,StdReturn,Entropy,AverageDiscountedReturn,AverageReturn,AveragePolicyStd,Perplexity,MeanKL,MaxKL,NumTrajs
-8.13412435813,-8.13412435813,3.97305266464e-09,-0.21400856244289732,-0.12994985482500243,0,0.0,1.4189385332,-5.5371881225,-8.13412435813,1.0,4.13273135412,0.3128977055894252,0.38175827863897577,1
-17.0740315417,-17.0740315417,1.17792198218e-09,-0.10386409086392188,-0.006809326370395277,1,0.0,1.40893854537,-10.4320434515,-17.0740315417,0.990049845795,4.09161003986,0.2713258791524392,0.3324989675822165,1
-30.9966892207,-30.9966892207,2.7524527102e-10,-0.2188241117852871,-0.19371117203679739,2,0.0,1.40185757553,-19.9336066575,-30.9966892207,0.983064094826,4.0627398078,0.2637587017113221,0.4058748345011665,1
-55.2123999588,-55.2123999588,1.21291088284e-10,0.015363009829910394,0.0007309297883475274,3,0.0,1.39350306232,-35.2516355892,-55.2123999588,0.974885285423,4.02893898574,0.033497866862732206,0.05380563131743653,1
-61.3571799604,-61.3571799604,8.72147909448e-11,-0.047902597308804244,-0.03566147372913478,4,0.0,1.38667780376,-39.1798614547,-61.3571799604,0.968254096815,4.00153406467,0.009483961224997088,0.01024785514750852,1
-66.8892107712,-66.8892107712,7.30764337931e-11,-0.014662007540038999,0.00033313697893754045,5,0.0,1.38015019267,-40.0597242164,-66.8892107712,0.96195429433,3.97549867341,0.017590990994709094,0.03034250923148734,1
-59.131879187,-59.131879187,1.05954245377e-10,-0.04350431776772154,-0.018005348790960232,6,0.0,1.37453162303,-36.1571647273,-59.131879187,0.956564642384,3.95322468983,0.07037347121853524,0.09820951650137011,1
-76.5508457727,-76.5508457727,7.4697359409e-11,-0.010722249535880279,-0.020618978497167796,7,0.0,1.36925320383,-48.1104954731,-76.5508457727,0.951528795553,3.93241288773,0.013804741857848165,0.020463569076900626,1
-88.0332195146,-88.0332195146,5.30048227532e-11,0.02350916102573813,0.0830850418838322,8,0.0,1.36418630011,-55.5575400217,-88.0332195146,0.946719684708,3.91253812456,0.04525470358178011,0.06458175768684266,1
-71.2914632262,-71.2914632262,9.81860148741e-11,-0.06262115005028016,-0.014407283632592466,9,0.0,1.36155939629,-45.7163693608,-71.2914632262,0.944236006766,3.90227375085,0.0915190123085714,0.13778025893336587,1
-58.4079550782,-58.4079550782,1.03413833052e-10,-0.08627007810993537,-0.10967256734241769,10,0.0,1.3589410946,-35.2766700835,-58.4079550782,0.941766945823,3.89206978528,0.01572068226185368,0.022363812830514987,1
-40.809386887,-40.809386887,2.21303864123e-10,-0.04769899297856543,-0.039941792244817836,11,0.0,1.35486146822,-26.2049359322,-40.809386887,0.937932714977,3.87622393924,0.0193646834021185,0.02485270126895117,1
-46.765475589,-46.765475589,1.57600266171e-10,-0.060528501538812104,-0.026380088939216718,12,0.0,1.35053714017,-29.7000152573,-46.765475589,0.933885543186,3.85949806549,0.04286995118261734,0.06225373609877864,1
-36.5772936417,-36.5772936417,2.87257884146e-10,0.09902135939983897,0.12142332132204395,13,0.0,1.34619891656,-22.867762607,-36.5772936417,0.929842914129,3.84279096563,0.05272147897971099,0.0748016927859182,1
-32.4587146929,-32.4587146929,3.00650726537e-10,0.03263786960288861,0.0691690874057725,14,0.0,1.34454427505,-20.4473600097,-32.4587146929,0.928305629624,3.83643778176,0.06555800702828511,0.07832839862733146,1
-18.2968079055,-18.2968079055,8.82458550677e-10,0.025367458781999266,0.06522354635834278,15,0.0,1.34416587651,-11.7252394448,-18.2968079055,0.927954426578,3.83498635392,0.0736082155180373,0.09477098389585448,1
-16.8890024952,-16.8890024952,1.17301246494e-09,0.06854403129023583,0.04336668914168444,16,0.0,1.34483522929,-10.0455562243,-16.8890024952,0.928575763373,3.83755417197,0.028458128251430077,0.035337033060122924,1
-13.2487193665,-13.2487193665,2.32392982635e-09,-0.04076005903238115,-0.04559925919497111,17,0.0,1.34610433985,-8.33116324191,-13.2487193665,0.929754976801,3.84242754428,0.000627479936988022,0.0013264833068923898,1
-10.3467307084,-10.3467307084,3.00310454282e-09,-0.057951282320358594,-0.049133185190970485,18,0.0,1.34654432215,-6.78229964368,-10.3467307084,0.930164142538,3.84411851635,0.0036733495552019953,0.005192561182926783,1
-10.6573373111,-10.6573373111,2.49855591772e-09,0.008294270478280458,0.013568524818408636,19,0.0,1.34618552954,-6.5482210505,-10.6573373111,0.929830466379,3.84273952242,0.005471910013380703,0.008031789195157846,1
-8.78504999462,-8.78504999462,3.56352847231e-09,-0.03383778072234737,-0.03699938967626777,20,0.0,1.34606977494,-5.57340655285,-8.78504999462,0.929722840455,3.84229473339,0.0010996237914260422,0.0016878307596098624,1
-8.97100151171,-8.97100151171,2.92129598289e-09,-0.06710033634566921,-0.05813729466390659,21,0.0,1.34538918658,-5.90801319596,-8.97100151171,0.92909029719,3.83968060201,0.003423818927546285,0.004661726760440368,1
-10.7625779166,-10.7625779166,2.1709601894e-09,-0.004613232867005428,-0.0051424819372881325,22,0.0,1.34387789158,-6.58051580473,-10.7625779166,0.927687228158,3.83388209463,0.00252869805670456,0.0031246841190276237,1
-9.54308586313,-9.54308586313,4.3362907709e-09,0.008368604877839246,0.01045194718218935,23,0.0,1.34242135948,-5.81422817489,-9.54308586313,0.926337005491,3.82830198708,9.300931182110284e-05,0.00014638102022798694,1
-8.98728025709,-8.98728025709,3.03204239493e-09,-0.05013059421176952,-0.04684899635030268,24,0.0,1.34126127775,-5.79124369213,-8.98728025709,0.925263001949,3.82386341896,0.00047187174429684856,0.0006290333529631181,1
-8.62088846047,-8.62088846047,4.69449845664e-09,0.08784467350911233,0.08744983445993033,25,0.0,1.33947008854,-5.13354178692,-8.62088846047,0.923607164239,3.81702028654,0.0001862361720590891,0.00029269653296798426,1
-7.847266124,-7.847266124,4.20020396241e-09,0.0016338004219526691,0.025617270487416535,26,0.0,1.33925269133,-4.92865183151,-7.847266124,0.923406396442,3.81619056717,0.005269824778436428,0.008310521128971321,1
-8.35773614725,-8.35773614725,4.02772593056e-09,-0.0595701314555199,-0.056221030031901306,27,0.0,1.33945795423,-5.37849213878,-8.35773614725,0.923595956976,3.81697396994,0.005580400616938832,0.006791213234153312,1
-7.42451576146,-7.42451576146,3.97440924615e-09,-0.09623398870437114,-0.09040037217627919,28,0.0,1.33875909688,-4.86129606493,-7.42451576146,0.922950720641,3.8143073815,0.005986299310180205,0.007967265425796233,1
-6.68594300081,-6.68594300081,6.87991263959e-09,0.02342613727523887,0.01954674599722495,29,0.0,1.33674912989,-4.08439634937,-6.68594300081,0.92109748326,3.80664844927,0.0030827747080992476,0.003538730350818045,1
-8.15154723436,-8.15154723436,4.47837733564e-09,-0.020367580027540164,-0.009684731039866796,30,0.0,1.33522497256,-5.00463557063,-8.15154723436,0.919694655117,3.80085093742,0.005419714848109125,0.006363152216461235,1
-7.80206686249,-7.80206686249,3.29013494227e-09,-0.09414181055191893,-0.09535539367612379,31,0.0,1.33368416476,-5.07541756799,-7.80206686249,0.918278673573,3.7949990661,0.003941048205296711,0.005069347152950945,1
-11.5509348311,-11.5509348311,2.0408504886e-09,-0.01854980129751751,-0.021370598130850696,32,0.0,1.33085415651,-7.31473173574,-11.5509348311,0.915683611107,3.78427437008,0.0016106367530302694,0.0023051045066637965,1
-10.465568227,-10.465568227,3.16202608541e-09,-0.09216115196731905,-0.049948293447011786,33,0.0,1.32794693398,-6.46921417441,-10.465568227,0.91302538099,3.77328861913,0.012929392697375953,0.01586223009392472,1
-12.0332654574,-12.0332654574,2.24301632823e-09,-0.13317738344750818,-0.10338147591031971,34,0.0,1.32454006111,-7.68873611905,-12.0332654574,0.909920112222,3.76045537753,0.023999037291031085,0.030329979719265487,1
-16.5401250233,-16.5401250233,1.20371101975e-09,-0.0728433658149062,-0.0889354091575434,35,0.0,1.31996612914,-11.00631986,-16.5401250233,0.905767703183,3.7432945865,0.007491958801972581,0.00918668028841095,1
