MinReturn,Steps,StdReturn,MaxReturn,Epoch,AverageReturn
-252.22778552,0,39.0680527627,-100.0,0,-196.770827489
-303.211858918,1200,49.8937451095,-100.0,1,-224.039902226
-311.162945668,2400,63.1940550825,-64.7856972725,2,-192.139260091
-332.359045041,3600,65.7095924694,-100.0,3,-233.670877196
-397.320746604,4800,84.4576461261,-97.5643379249,4,-262.443439554
-500.603219469,6000,111.815707382,-96.4481264567,5,-307.00052283
-298.768667194,7200,60.106989856,-94.7029474561,6,-185.489775827
-234.883497624,8400,42.6611715766,-94.3355433594,7,-175.836345613
-271.265000824,9600,61.9539768117,-51.5280568539,8,-149.591156607
-206.092184108,10800,39.3626718077,-82.7198813469,9,-138.567324825
-170.643073572,12000,29.408524522,-77.8965181725,10,-111.394538086
-242.759821614,13200,56.6885333061,-44.1960494189,11,-129.433190612
-189.722455631,14400,66.3190560338,48.0142132502,12,-93.4097571268
-163.462890949,15600,36.2368654094,-32.4093125894,13,-96.6091814979
-183.087034641,16800,36.0205514162,-46.1185319052,14,-96.041173467
-187.169473919,18000,32.7641056236,-61.1266574158,15,-106.701885788
-196.898842227,19200,40.2922752593,-67.6899442656,16,-119.185320161
-141.854885035,20400,27.7670959686,-39.6675836301,17,-84.5806375463
-149.030453229,21600,33.7658390493,-34.6471080988,18,-98.6651048229
-159.435037572,22800,23.6120190474,-74.6406923728,19,-113.171234188
-122.030858515,24000,55.0964895218,59.9861020625,20,-59.432454592
-130.729406406,25200,22.3571344314,-51.6348001388,21,-87.9844518528
-157.744920984,26400,39.3654794988,-20.8066394928,22,-84.2446006348
-133.989004808,27600,68.6417196115,173.259621653,23,-44.7410359285
-169.79054034,28800,30.3431612626,-63.2746337675,24,-102.219480046
-153.012778757,30000,31.7871414368,-43.5674237997,25,-96.946011308
-143.916714978,31200,20.2380896427,-60.5967559588,26,-90.7361557006
-163.057925096,32400,26.2915072741,-72.2377412476,27,-105.7845611
-150.554127629,33600,22.0405859296,-65.7353165373,28,-95.229619591
-160.566231743,34800,22.7628830622,-79.5356728975,29,-109.498695763
-144.653001985,36000,18.958231921,-74.272570298,30,-103.921662823
-179.18942158,37200,87.6573015526,141.530314327,31,-60.8255791212
-143.532683486,38400,47.9201284233,30.8968648855,32,-69.8994959907
-165.456799531,39600,78.2113855554,133.88150612,33,-61.7928542914
-117.04063875,40800,7.56045509613,-80.2349873484,34,-94.0972448447
-163.000893399,42000,32.1890973989,-38.8071716194,35,-100.083597132
-175.713861565,43200,29.9306730209,-77.4426530445,36,-111.486357203
-192.179753562,44400,34.1064133891,-54.956973503,37,-124.746692749
-310.246930235,45600,47.5673921678,-73.9827404753,38,-155.961830894
-201.018035674,46800,37.6408346701,-80.0621214308,39,-113.855663587
-183.709698847,48000,88.0179447518,151.678274807,40,-50.3082593731
-173.276275962,49200,77.4860788117,120.738872222,41,-55.8143587217
-197.281758805,50400,38.1278616514,-64.6664986854,42,-122.58193411
-135.05725158,51600,15.7963333479,-67.7101181251,43,-94.0280579572
-144.400224568,52800,18.7891926367,-55.4643028469,44,-111.060153364
-155.062116345,54000,28.098805413,-33.4289701359,45,-101.84150793
-183.138338816,55200,29.6818903629,-69.6516217014,46,-126.518808478
-200.757884647,56400,35.6783725811,-79.0712537756,47,-125.594207079
-319.033219594,57600,57.1742005782,-64.8528265439,48,-146.177091936
-141.875294451,58800,18.6542743074,-56.5257936079,49,-104.57686143
-166.998891448,60000,28.4619682509,-53.0707457833,50,-116.905356735
-147.342756016,61200,13.816508362,-90.8183279955,51,-115.12101199
-145.634524011,62400,12.6348681979,-81.7888298148,52,-110.737783438
-211.423871333,63600,33.9780857247,-83.4373244446,53,-132.877818064
-208.006015692,64800,31.7512424331,-79.4770769113,54,-137.921028746
-202.346202782,66000,35.3195879313,-65.2824864424,55,-137.69195897
-447.343613587,67200,86.424254765,-64.6965609959,56,-185.303136059
-229.451723323,68400,41.8708523974,-83.6736545912,57,-157.562215868
-439.515820221,69600,80.5348722057,-90.021382632,58,-217.783680027
-255.492960262,70800,51.852668255,-71.3230547435,59,-163.174940974
-236.912004482,72000,40.2439597611,-87.9757574734,60,-163.042378829
-456.644781227,73200,84.8695576619,-97.303685392,61,-216.914557223
-251.896223839,74400,44.937327477,-94.1402101461,62,-174.217140862
-246.455421643,75600,46.9602414363,-94.4983252051,63,-180.009018459
-251.546689722,76800,43.2698759134,-99.2405917486,64,-183.945966716
-196.17853704,78000,32.3694683769,-59.6519448871,65,-136.106810629
-303.270782511,79200,63.0143970825,-88.1720178977,66,-207.837421697
-267.677103844,80400,51.9698140508,-81.0912783085,67,-177.570147737
-256.054165619,81600,43.2974234995,-95.5957002299,68,-168.298743105
-177.184070765,82800,36.1475626937,-36.3005035964,69,-119.158801371
-274.145793416,84000,56.0029603333,-72.4212024371,70,-171.202531214
-267.01071391,85200,52.6093297835,-97.9306715547,71,-185.636298346
-285.484123704,86400,59.0437472112,-79.9261436362,72,-190.580193731
-278.040958916,87600,53.3223468284,-91.2173139386,73,-181.14387012
-247.898175324,88800,43.831850455,-63.0829683758,74,-159.678426154
-215.872677089,90000,39.821881819,-65.5331928966,75,-154.947932641
-278.863755021,91200,51.4438215773,-97.3408969113,76,-187.973469869
-240.460857172,92400,53.4557703415,-43.082724077,77,-146.789643677
-174.057749077,93600,27.7230409514,-64.0653946521,78,-134.277612497
-208.599145478,94800,38.4881208158,-50.6637375583,79,-130.965921915
-247.932792089,96000,43.8518899808,-92.2798276047,80,-152.59088907
-208.694542087,97200,35.63172644,-56.303133508,81,-121.094488273
-187.616740291,98400,27.5211070971,-84.7829826544,82,-130.566251338
-189.363116717,99600,33.5134562709,-49.598854687,83,-122.780822614
-123.125498974,100800,64.6043960057,113.622986645,84,-57.774449976
-197.689850382,102000,85.4156158774,110.096302932,85,-84.1480687646
-189.772933292,103200,30.8053976502,-57.6288052389,86,-116.172958671
-149.629683404,104400,19.9115457109,-60.622263331,87,-107.933107312
-206.09204512,105600,37.7330446054,-85.3383885294,88,-132.924238302
-174.847733944,106800,30.7840781338,-36.6270022221,89,-115.143537744
-180.596848654,108000,31.6143183499,-44.9999463711,90,-123.290669799
-172.59126047,109200,31.7425910145,-56.3393165449,91,-117.910232193
-126.464586104,110400,24.1520614805,-8.92854069802,92,-95.5168202353
-158.867761316,111600,17.7866672782,-83.353268583,93,-118.527639481
-160.404642069,112800,21.3545684874,-79.7793085107,94,-127.352375461
-141.974897235,114000,16.7805866727,-85.9746822418,95,-114.513872163
-150.901436275,115200,29.3196412734,-9.50435275513,96,-112.564866548
-133.861593644,116400,28.5842892276,-3.42180718538,97,-93.1172342372
-157.536066898,117600,31.6344637145,-16.9165901007,98,-109.193780179
-140.601341646,118800,15.2769367385,-86.5244329869,99,-108.279511744
-134.77946002,120000,11.1789789986,-83.3729814052,100,-104.718180306
-134.852493016,121200,13.9167494214,-81.7753068173,101,-105.543128487
-134.754042372,122400,12.0244944367,-81.1586519117,102,-98.1894923833
-135.823403674,123600,11.8104994485,-87.2487248606,103,-107.916803655
-106.557866855,124800,27.207044248,7.51371758022,104,-81.6837393771
-110.218579374,126000,42.5820009477,62.737203273,105,-72.1809140221
-139.545215189,127200,12.0067846085,-75.919703936,106,-104.60622853
-130.671600004,128400,10.099130284,-85.7999479402,107,-104.04115369
-153.018009478,129600,17.7253754077,-82.5865739837,108,-117.671276423
-131.125831143,130800,12.917671121,-87.2602120184,109,-104.081612084
-150.246288581,132000,18.4920257518,-83.1245605355,110,-113.270129879
-152.777428832,133200,19.8668471686,-81.7883811343,111,-109.977570732
-107.514677345,134400,5.08048407412,-85.6910872186,112,-100.071695822
-140.515673816,135600,14.7332226773,-83.5541208373,113,-109.477182772
-137.132627799,136800,14.6281765426,-84.7963674722,114,-106.302637921
-136.330934947,138000,16.2028775579,-80.0457482293,115,-101.699907842
-127.613273171,139200,10.9747830756,-84.3184600369,116,-100.207412238
-135.298903129,140400,15.7453071501,-84.1948709844,117,-104.051848665
-168.330524005,141600,26.6565153722,-81.2191216144,118,-112.284966538
-126.197804395,142800,12.0999533507,-73.2211471629,119,-97.8031549158
-140.612705052,144000,11.806486393,-91.4741114125,120,-113.804720733
-134.887117823,145200,20.4447865406,-37.2014899219,121,-95.4192045465
-141.993184765,146400,16.3990113477,-81.6404797039,122,-108.382613474
-133.037821299,147600,11.1386968658,-81.9607943655,123,-102.341691401
-139.540262364,148800,15.0600168465,-82.495831946,124,-105.035450514
-148.633621942,150000,17.9294812978,-83.7787741727,125,-110.459003065
-142.067718984,151200,16.9182401471,-75.4549311436,126,-98.9380320698
-131.290309579,152400,18.8674415529,-49.086226461,127,-93.7744796684
-152.496580982,153600,18.2313904458,-77.4328194288,128,-110.163078073
-208.557938103,154800,31.1310392638,-82.3249523529,129,-123.956117465
-138.49547177,156000,14.0211153408,-82.4516709645,130,-104.814293386
-164.826676788,157200,24.6018727894,-76.9110109807,131,-105.131076982
-137.950508877,158400,16.09447953,-65.9427131558,132,-95.489268726
-149.887249642,159600,20.1610406217,-75.0726172845,133,-105.83737619
-148.631566079,160800,24.1580174987,-67.7928586633,134,-107.499193456
-132.346826062,162000,17.0847820504,-72.9675501638,135,-103.732668924
-165.363969092,163200,25.0006913285,-75.8584010158,136,-109.725188309
-169.593033285,164400,25.9659708667,-79.529366589,137,-107.631225127
-145.175358757,165600,15.6095784544,-74.8174467031,138,-108.974055738
-168.284978232,166800,22.4847259862,-79.73334866,139,-118.413141545
-135.098868494,168000,9.49495855975,-91.1782272274,140,-108.020455478
-194.674597268,169200,63.9790662074,64.8818862685,141,-98.5424690583
-153.169588367,170400,15.3987616552,-83.8669734315,142,-118.588477888
-145.826885009,171600,13.9029868421,-82.4594460049,143,-120.358051411
-203.553620034,172800,35.6678453039,-70.6394095784,144,-131.56349372
-338.335256983,174000,46.8199982865,-83.4678552056,145,-169.332128086
-175.490545078,175200,24.7852972408,-57.6007088895,146,-123.022008351
-206.838688778,176400,31.7351848877,-92.798580442,147,-133.236920654
-196.245091533,177600,36.6863791585,-92.5706962674,148,-143.215700466
-341.278446821,178800,68.166522743,-83.8331342209,149,-156.897116861
-134.175092731,180000,18.9996418295,-51.9892276198,150,-104.548754841
-164.917354337,181200,21.6693222482,-75.6181417184,151,-131.658891061
-140.508961231,182400,26.4822337705,-17.5996003583,152,-94.8287703203
-119.246942302,183600,18.4466110742,-53.7004917142,153,-90.9543212498
-152.855325843,184800,23.0519874015,-69.9890504946,154,-109.366749546
-155.224274695,186000,29.4771245204,-49.2360294298,155,-102.234550518
-146.215723062,187200,25.4090614237,-52.5094682927,156,-85.3292383599
-162.267715245,188400,26.6624011598,-73.1915483339,157,-104.430028241
-132.46250972,189600,19.939868816,-64.8026511638,158,-94.0099503007
