Epoch,MinReturn,AverageReturn,MaxReturn,Steps,StdReturn
0,-316.806324166,-291.464857643,-263.772633191,0,21.7146285831
1,-294.707899648,-243.784148787,-179.131304055,1200,48.1722837055
2,-329.039539909,-213.571816245,-155.405596397,2400,81.6487735758
3,-314.93110216,-201.973937779,-127.913456349,3600,81.1525884563
4,-196.373630889,-185.914619333,-167.209554308,4800,13.257297087
5,-385.955838996,-255.425315924,-106.190192848,6000,114.977101306
6,-359.485480129,-287.524795803,-169.122168216,7200,84.3689840365
7,-542.872874605,-395.54486424,-280.698100017,8400,109.468950303
8,-373.385534749,-261.902451478,-146.6657556,9600,92.596010605
9,-458.347231357,-339.005348342,-246.800030661,10800,88.4697666405
10,-529.771269007,-462.544671033,-352.287781483,12000,78.5866892069
11,-439.491849643,-254.805576468,-28.9777348734,13200,170.097875933
12,-471.138233526,-443.45382718,-424.109427846,14400,20.0847193764
13,-524.69526373,-384.12065142,-248.015756279,15600,112.998145234
14,-439.694809019,-349.471068702,-256.515756644,16800,74.8074747619
15,-416.006349257,-323.479647026,-249.89929603,18000,69.1236160889
16,-254.316822995,-187.729314164,-80.456434969,19200,76.5869142538
17,-538.069983996,-336.763887261,-207.302040641,20400,144.275327745
18,-528.142606598,-426.20738949,-337.791519033,21600,78.2962906093
19,-580.979381962,-418.68192619,-146.031961138,22800,193.955444967
20,-417.464339356,-279.161184248,-98.0000182019,24000,133.895406814
21,-541.683015737,-387.800958673,-291.353796363,25200,109.970465337
22,-449.705140325,-384.515742118,-341.230157987,26400,46.9150882024
23,-512.143139827,-367.746500032,-289.45037368,27600,102.22516139
24,-397.895475847,-344.771910553,-277.114401782,28800,50.3682677741
25,-409.308014619,-324.984063726,-226.667448065,30000,75.2163109007
26,-448.841891853,-351.812049658,-300.522919964,31200,68.6478401731
27,-269.822204544,-228.090382007,-164.842480978,32400,45.4781399153
28,-365.625511913,-337.801850011,-304.857973481,33600,25.0710441232
29,-413.669317922,-338.050596214,-286.460254123,34800,54.6416126435
30,-452.492328918,-347.212674665,-288.832056213,36000,74.5913796843
31,-406.141027003,-357.619249181,-264.384656887,37200,65.9451486752
32,-363.441393245,-270.162676979,-174.130252523,38400,77.3104744173
33,-328.16541284,-260.510672676,-170.735645133,39600,66.1463693906
34,-294.628451228,-253.661704015,-218.299506933,40800,31.4121544516
35,-378.93036327,-299.765121118,-181.341743617,42000,85.3081338338
36,-368.644255041,-230.937270288,-91.9454164542,43200,112.96548141
37,-271.973851475,-265.001852273,-258.5327053,44400,5.49883308189
38,-324.667669072,-252.599984894,-160.315986846,45600,68.6022029409
39,-314.664913352,-293.615710279,-277.110224369,46800,15.6646670439
40,-303.274848887,-214.82869566,-86.7717597583,48000,92.7187772375
41,-480.388798681,-365.293581877,-288.97382465,49200,82.8153579554
42,-208.187779923,-185.919351341,-156.673027884,50400,21.6018622978
43,-344.203255723,-244.616945825,-179.271859257,51600,71.5538837355
44,-234.033034214,-212.636547039,-190.32108498,52800,17.8571556636
45,-261.958438553,-234.756716222,-218.893817074,54000,19.3229930252
46,-339.715348753,-264.671587722,-218.308398485,55200,53.5527359539
47,-244.274212337,-171.276744811,-48.7142583121,56400,87.1911395875
48,-272.8543244,-154.405603245,-84.4696771029,57600,84.2112909863
49,-297.973722734,-277.425400719,-266.885598485,58800,14.531476605
50,-242.000050641,-162.673884402,-32.5177553982,60000,92.7666313609
51,-310.887182507,-272.045843796,-251.946906961,61200,27.4705568611
52,-373.418126762,-323.100925583,-268.494530391,62400,42.942117304
53,-294.482515635,-217.06904255,-152.666522676,63600,58.6225647244
54,-275.476178324,-265.369518942,-250.235210271,64800,10.9005981515
55,-339.534063851,-180.834110311,-16.1700774575,66000,132.080138819
56,-255.985475943,-219.396144583,-180.432586102,67200,30.8899930578
57,-241.004354277,-228.080628282,-214.580901991,68400,10.7950155144
58,-201.278644906,-192.795733538,-186.598656706,69600,6.20721585598
59,-319.539638026,-221.708141483,-155.969237153,70800,70.5278662028
60,-219.537371668,-168.897484764,-129.936466293,72000,37.5000225505
61,-268.725559033,-221.24311785,-191.694703228,73200,33.908309385
62,-220.582855192,-202.647519527,-182.232142156,74400,15.7545179282
63,-220.245505401,-176.953107432,-150.131433458,75600,30.9026356241
64,-262.055703876,-198.173671862,-137.129427953,76800,51.0403982808
65,-217.675556994,-184.674706999,-131.80396549,78000,37.7676404556
66,-173.924480692,-157.464102793,-142.203039692,79200,12.9779613644
67,-169.707186532,-112.822837041,-33.4247757279,80400,57.8698210852
68,-189.09920513,-161.609615109,-132.374651862,81600,23.1905653463
69,-207.448490354,-176.3133929,-149.397569408,82800,23.8862451389
70,-210.077203485,-182.101568372,-141.711709495,84000,29.2579892887
71,-178.855447444,-158.29300623,-136.568108371,85200,17.2832913639
72,-167.608873544,-162.103540556,-153.049254561,86400,6.4519726604
73,-163.277199151,-150.690134618,-132.084993416,87600,13.4263760252
74,-184.087086308,-157.769703374,-123.710137399,88800,25.249422945
75,-182.113270707,-174.439905058,-159.658092749,90000,10.4548637714
76,-192.473037489,-179.901302219,-173.173350247,91200,8.89688463615
77,-182.355276038,-178.664314303,-174.515290597,92400,3.21700777187
78,-203.568574813,-184.43508483,-161.978222704,93600,17.1410413714
79,-201.537825804,-199.140855402,-196.836556092,94800,1.92040363376
80,-228.570874471,-183.469695548,-136.809085405,96000,37.4778187949
81,-200.638327237,-171.525919458,-138.270250522,97200,25.6296600061
82,-176.075113834,-169.972072982,-164.748741055,98400,4.6656257833
83,-195.91781831,-182.326482965,-162.636492667,99600,14.2549840013
84,-176.251925226,-160.051954062,-147.13988097,100800,12.1102019114
85,-201.215784455,-175.11774196,-157.926133468,102000,18.7615190502
86,-187.940111945,-169.197637771,-152.820267682,103200,14.4348225545
87,-210.918988903,-181.183485441,-144.532743613,104400,27.5396536188
88,-305.395619878,-214.299931291,-158.663644653,105600,64.9389201647
89,-246.507600765,-190.568859167,-135.076395751,106800,45.4926934491
90,-209.1416222,-186.613439833,-150.071591672,108000,26.0717503364
91,-197.751664206,-174.930702703,-154.959246139,109200,17.5857427067
92,-232.592164472,-220.874443148,-207.605165098,110400,10.2597280871
93,-221.367794241,-203.303236735,-192.782082924,111600,12.8312879936
94,-378.021902021,-245.860279169,-172.606292514,112800,93.6357316378
95,-304.466736783,-186.999869519,-55.2266844647,114000,102.25345623
96,-295.445838133,-238.709383568,-187.660337403,115200,44.1866382719
97,-258.485789379,-244.693218711,-227.48677545,116400,12.8834677192
98,-348.519356363,-200.749336519,-63.193232199,117600,116.707589971
99,-312.253329868,-298.232547763,-289.118004433,118800,10.0619482854
100,-307.965525267,-288.264908378,-269.696061097,120000,15.6439263785
